WBS,Task Name,Duration,Start,Finish,Predecessors,Resource Names
3.3,      Conduct pre-event walkthrough,1 day,Thu 26-04-23,Thu 26-04-23,50,Douglas
3.3.1,         Go through walkthrough checklist,1 day,Thu 26-04-23,Thu 26-04-23,50,Douglas
3.3.2,         Document any preexisting damage,1 day,Thu 26-04-23,Thu 26-04-23,50,Douglas
3.4,      Conduct post event walkthrough,1 day,Tue 26-04-28,Tue 26-04-28,"97,57,58,59",Douglas
3.4.1,         Go through walkthrough checklist,1 day,Tue 26-04-28,Tue 26-04-28,50,Douglas
3.0.M,   Venue Complete,0 days,Fri 26-04-24,Fri 26-04-24,,
4,   Marketing,35 days,Mon 26-03-09,Fri 26-04-24,"33,37,39,44,46,53,54",Bora
4.1,      Create marketing assets,1 day,Mon 26-03-09,Mon 26-03-09,,Bora
4.1.1,         Create Posters,1 day,Mon 26-03-09,Mon 26-03-09,,Bora
4.1.1.1,            Print posters,1 day,Mon 26-03-09,Mon 26-03-09,,Bora
4.1.2,         Create graphics for social media and discord posts,1 day,Tue 26-03-10,Tue 26-03-10,48,Bora
4.2,"      Post marketing assets around NAIT, discord, and social media",33 days,Wed 26-03-11,Fri 26-04-24,"65,66,67,48",Bora
4.2.1,         Launch registration form,1 day,Wed 26-03-11,Wed 26-03-11,36,Bora
